Source,Year,GPSC,Freq
Invasive,2005,53,2
Invasive,2006,53,8
Invasive,2008,307,2
Invasive,2008,53,5
Invasive,2009,10,1
Invasive,2009,307,2
Invasive,2010,53,2
Invasive,2011,307,2
Invasive,2011,5,2
Invasive,2012,84,2
Invasive,2013,10,2
Invasive,2013,307,2
Invasive,2015,10,1
Invasive,2015,5,1
Invasive,2017,Other,1
Invasive,2018,84,2
Invasive,2019,84,2
Invasive,2019,Other,1
Invasive,2020,84,2
Invasive,2021,84,2
Invasive,2022,84,5
Invasive,2023,84,3
NP,2012,10,1
NP,2012,307,2
NP,2012,5,1
NP,2012,53,1
NP,2012,84,1
NP,2013,10,3
NP,2013,5,1
NP,2013,53,1
NP,2013,84,1
NP,2013,Other,1
NP,2014,84,1
NP,2014,Other,1
NP,2016,307,1
NP,2016,5,1
NP,2016,84,1
NP,2016,Other,1
NP,2017,84,6
NP,2017,Other,1
NP,2019,10,3
NP,2019,5,3
NP,2019,84,24
NP,2019,Other,2
NP,2020,10,1
NP,2020,84,3
OM,2014,10,12
OM,2014,5,5
OM,2014,84,1
OM,2015,10,3
OM,2015,5,1
OM,2015,84,8
OM,2016,5,1
OM,2016,84,4
OM,2017,5,1
OM,2017,84,6
OM,2018,10,1
OM,2018,84,9
OM,2019,10,2
OM,2019,84,3
Urine,2018,Other,1
Urine,2020,Other,1
Urine,2021,84,1
