Source,Year,ST,Freq
Invasive,2005,Other,2
Invasive,2006,12891,5
Invasive,2006,Other,3
Invasive,2008,12891,3
Invasive,2008,5282,2
Invasive,2008,Other,2
Invasive,2009,12473,1
Invasive,2009,Other,2
Invasive,2010,Other,2
Invasive,2011,2464,2
Invasive,2011,5282,2
Invasive,2012,2988,2
Invasive,2013,12894,2
Invasive,2013,5282,2
Invasive,2015,12473,1
Invasive,2015,2464,1
Invasive,2017,Other,1
Invasive,2018,12888,1
Invasive,2018,Other,1
Invasive,2019,12888,2
Invasive,2019,Other,1
Invasive,2020,12888,2
Invasive,2021,12888,2
Invasive,2022,12888,4
Invasive,2022,Other,1
Invasive,2023,12888,1
Invasive,2023,Other,2
NP,2012,12473,1
NP,2012,12891,1
NP,2012,2464,1
NP,2012,5282,1
NP,2012,Other,2
NP,2013,12473,3
NP,2013,12891,1
NP,2013,2464,1
NP,2013,2988,1
NP,2013,Other,1
NP,2014,12888,1
NP,2014,Other,1
NP,2016,12888,1
NP,2016,2464,1
NP,2016,Other,2
NP,2017,12888,3
NP,2017,18596,2
NP,2017,2988,1
NP,2017,Other,1
NP,2019,12473,3
NP,2019,12888,20
NP,2019,2464,3
NP,2019,Other,6
NP,2020,12888,2
NP,2020,2988,1
NP,2020,Other,1
OM,2014,12473,5
OM,2014,12894,4
OM,2014,2464,5
OM,2014,Other,4
OM,2015,12473,1
OM,2015,12888,5
OM,2015,18596,2
OM,2015,2464,1
OM,2015,2988,1
OM,2015,Other,2
OM,2016,12888,3
OM,2016,2464,1
OM,2016,2988,1
OM,2017,12888,1
OM,2017,18596,1
OM,2017,2464,1
OM,2017,Other,4
OM,2018,12473,1
OM,2018,12888,7
OM,2018,18596,1
OM,2018,2988,1
OM,2019,12473,1
OM,2019,12888,3
OM,2019,12894,1
Urine,2018,Other,1
Urine,2020,Other,1
Urine,2021,12888,1
